
> @nms/content@0.1.0 shotlist
> node --experimental-strip-types scripts/shot-list.ts --csv

rep,clip,type,direction,seconds,words,status,narration
"1.1","m1-r1-b1","avatar","full screen, direct to camera","20","50","HAS FOOTAGE","Congratulations on your promotion. You've worked hard for this. You've been performing at a high level, and someone noticed. That's real, and it matters. But here's what most people don't tell you when they hand you that new title: The job you just accepted? Nobody actually trained you for it."
"1.1","","reading","","28","88","no footage — reading card, by decision","Most promotions into management follow the same pattern. A talented employee does exceptional work. Leadership notices. They get promoted — usually because they're the best at what they do. And then they're handed a team, maybe a pay increase, and expected to figure out the rest. No roadmap. No instruction manual. No real preparation. The title is visible. The new paycheck is visible. But the actual job description of “manager” — what it truly requires of you — that part is invisible. And you're expected to just... know."
"1.1","m1-r1-b3","avatar","full screen","40","99","HAS FOOTAGE","Let's talk about what actually changed when you got promoted. Before, your success depended almost entirely on you. Your effort, your skill, your output. You controlled it. If you worked harder or smarter, results improved. Simple equation. Now? Your success depends on a group of people — people with different strengths, different motivations, and different ideas about what a productive day looks like. You can't do the work for them. You have to lead them to do it well. That's a fundamentally different challenge. And most new managers walk into it believing at least one of these three things."
"1.1","","buildList","avatar steps back, items build on screen one by one","17","0","no footage — native card",""
"1.1","","hold","","2","0","not shown — edit direction only",""
"1.1","m1-r1-b6","avatar","full screen","22","56","HAS FOOTAGE","All three of those will get you in trouble. Your old manager's style was built for their context — not yours. Your track record impresses leadership, not necessarily your team. And trying to do both jobs at once usually means doing neither one well. Here's what happens when a manager steps in without the right preparation."
"1.1","","buildList","avatar steps back, items build on screen","20","0","no footage — native card",""
"1.1","","hold","","2","0","not shown — edit direction only",""
"1.1","","moment","","3","0","no footage — native card",""
"1.1","m1-r1-b10","avatar","full screen","28","70","HAS FOOTAGE","That's a significant responsibility. But it's also a significant opportunity — because when you get this right, you can build something remarkable. Here's the reframe this entire program is built on. You were promoted because you were great at your job. That's your starting point — not your finish line. The skills that made you an exceptional doer are different from the skills that will make you an exceptional manager."
"1.1","m1-r1-b11","overlay","","9","23","to render","You're not behind. You're not failing. You're at the beginning of a new game — and now you know the rules are different."
"1.1","m1-r1-b12","avatar","full screen, direct close","16","39","to render","In the next section, we're going to dig into exactly why high performers often struggle the most when they step into management — and what the shift from doing to leading actually looks like in practice. Let's keep going."
"1.2","m1-r2-b1","avatar","full screen, direct to camera","31","78","to render","There's an uncomfortable truth that most organizations never talk about when they promote someone into management. The very things that made you exceptional as an individual contributor — your speed, your technical expertise, your ability to get things done — those same qualities can work directly against you as a manager. Not because they're bad qualities. They're not. But the job has fundamentally changed, and the tools that worked in your old role don't fit the new one."
"1.2","m1-r2-b2","avatar","full screen","11","28","to render","Think about what you were rewarded for before your promotion. You solved problems. You delivered results. You moved fast and produced high-quality work. Your value was your output."
"1.2","m1-r2-b3","overlay","","4","9","to render","That's task leadership. And you were exceptional at it."
"1.2","m1-r2-b4","overlay","","21","52","to render","People leadership is a different game entirely. Your value is no longer in what you personally produce — it's in what you help your team produce. Your job is not to be the best at the work. Your job is to create the conditions where your team can do their best work."
"1.2","m1-r2-b5","avatar","full screen","29","72","to render","That shift — from doing to enabling — is the single most important transition you will make as a manager. And here's what happens when new managers don't make it. They keep doing. They jump in when things get complicated. They solve problems their team should be solving. They take work back because it's just easier to do it themselves. We call this the doer trap. And it creates three problems simultaneously."
"1.2","","buildList","avatar steps back, items build on screen","17","0","no footage — native card",""
"1.2","","hold","","2","0","not shown — edit direction only",""
"1.2","m1-r2-b8","avatar","full screen","5","13","to render","So if great managers aren't doing the work — what are they doing?"
"1.2","","buildList","avatar steps back, items build on screen","20","0","no footage — native card",""
"1.2","","hold","","2","0","not shown — edit direction only",""
"1.2","m1-r2-b11","avatar","full screen","26","66","to render","None of those things show up in a task list. None of them produce something you can point to at the end of the day. But over time, they are what determine whether your team thrives or struggles. Here's what should give you confidence if you're feeling uncertain right now. Great management is not a personality trait. It's not something you either have or you don't."
"1.2","","moment","","3","0","no footage — native card",""
"1.2","m1-r2-b13","avatar","full screen","45","113","to render","Nobody is born knowing how to run a one-on-one meeting, deliver a hard performance conversation, or delegate effectively. These are things you learn. The managers who struggle aren't the ones who lack talent — they're the ones who were never given the tools. That's what's changing right now. Before your promotion, a great day meant you finished your work and hit your numbers. In your new role, a great day is one where your team made progress, your people felt clear and supported, and you created the conditions for them to succeed. When you start measuring your success by the success of your team — everything changes. That's the shift. That's the job."
